9029|Ministère des Transports - Cabano|7, rue Morin Témiscouata-sur-le-Lac|Témiscouata|47,681533|-68,888226|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 2010 Q : Plage B-C|2011-02-08|
6044|Ministère des Transports - Cacouna|801, route de l'Église Cacouna|Kamouraska|47,54218|-69,481611|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 2002 Q : > C|2004-03-03|
170|Ministère des Transports du Québec|301, avenue Desjardins Matane|La Matanie|48,83668|-67,533915|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 2000 Q : Plage A-B|2001-01-18|
18|Municipalité de Lac-au-Saumon|20, rue du Cénacle Lac-au-Saumon|La Matapédia|48,441797|-67,3943|Aucun|Composés phénoliques*|R : Non terminée|2002-08-27|
154|Municipalité de Sainte-Anne-de-La-Pocatière|175, chemin des Sables Est Sainte-Anne-de-la-Pocatière|Kamouraska|47,34163|-70,037995|Aucun|Benzène (pot), Éthylbenzène (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Toluène (pot), Xylènes (o,m,p) (pot)|R : Terminée en 1996 Q : Plage B-C|2001-01-17|
48|Municipalité de Sainte-Paule|102, rue Banville Sainte-Paule|La Matanie|48,660602|-67,558953|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 1996 Q : Plage A-B|2000-08-16|
73|Municipalité de Saint-Épiphane|344, rue Deschènes Est Saint-Épiphane|Rivière-du-Loup|47,89964|-69,331219|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 1995 Q : Non précisée|2000-08-16|
59|Municipalité de Saint-Guy|60, route 296 Saint-Guy|Les Basques|48,035753|-68,785722|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 1993 Q : Plage A-B|2000-08-16|
137|Municipalité de Saint-Hubert-de-Rivière-du-Loup|66, chemin Taché Ouest Saint-Hubert-de-Rivière-du-Loup|Rivière-du-Loup|47,804271|-69,165273|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 1998 Q : Plage B-C|2000-08-16|
113|Municipalité de Saint-Jean-de-la-Lande|909, rue Principale Saint-Jean-de-la-Lande|Témiscouata|47,4278|-68,68061|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 1996 Q : Non précisée|2001-02-13|
142|Municipalité de Saint-Noël|Intersection des routes 297 et MacNider Sud Saint-Noël|La Matapédia|48,581563|-67,832909|Aucun|Benzène (pot), Éthylbenzène (pot), Toluène (pot), Xylènes (o,m,p) (pot)|R : Terminée en 2000 Q : Plage B-C|2001-03-29|
58|Municipalité du Bic|149, rue Sainte-Cécile Le Bic|Rimouski-Neigette|48,369344|-68,719568|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 1993 Q : Plage B-C|2000-08-16|
140|Municipalité Saint-Jacques-le-Majeur-de-Causapscal|675, route 132 Ouest Causapscal|La Matapédia|48,375815|-67,246375|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 1997 Q : Plage A-B|2000-08-16|
5511|Office municipale d'habitation|41, rue Fraserville Rivière-du-Loup|Rivière-du-Loup|47,824647|-69,529532|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 2000 Q : Plage A-B|2001-01-18|
6891|Onyx industries inc.|16, rue Lebrun Rimouski|Rimouski-Neigette|48,4737|-68,5073|Aucun|Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Zinc (Zn)|R : Terminée en 2006 Q : Plage B-C|2006-05-05|
152|Papier Cascades (Cabano) inc.(1994)|520, rue Commerciale Nord Témiscouata-sur-le-Lac|Témiscouata|47,66851|-68,862104|Aucun|Benzène (pot), Éthylbenzène (pot), Hydrocarbures pétroliers C10 à C50, Toluène (pot), Xylènes (o,m,p) (pot)|R : Terminée en 1994 Q : Plage B-C|2010-02-08|
153|Papier Cascades (Cabano) inc.(1996)|520, rue Commerciale Nord Témiscouata-sur-le-Lac|Témiscouata|47,66851|-68,862104|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 1996 Q : Plage B-C|2010-02-08|
51|Pavillon de l'Avenir|65, rue Sainte-Anne Rivière-du-Loup|Rivière-du-Loup|47,829167|-69,537964|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 1995 Q : Non précisée|2001-03-29|
44|Pavillon l'Arc-en-ciel|53, rue Saint-Pierre Luceville|La Mitis|48,529271|-68,345518|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 1997 Q : Plage A-B|2001-01-25|
124|Pavillon Sainte-Luce|26, route du Fleuve Ouest Sainte-Luce|La Mitis|48,549452|-68,385691|Aucun|Hydrocarbures pétroliers C10 à C50|R : Terminée en 1997 Q : > C|2000-08-16|
